,RISK,COUNTY
0,1,AUTAUGA
1,0,BALDWIN
2,0,BARBOUR
3,0,BIBB
4,0,BLOUNT
5,0,BULLOCK
6,0,BUTLER
7,0,CALHOUN
8,0,CHAMBERS
9,0,CHEROKEE
10,0,CHILTON
11,0,CHOCTAW
12,0,CLARKE
13,0,CLAY
14,0,CLEBURNE
15,0,COFFEE
16,0,COLBERT
17,0,CONECUH
18,0,COOSA
19,0,COVINGTON
20,0,CRENSHAW
21,0,CULLMAN
22,0,DALE
23,0,DALLAS
24,0,DEKALB
25,0,ELMORE
26,0,ESCAMBIA
27,0,ETOWAH
28,0,FAYETTE
29,0,FRANKLIN
30,0,GENEVA
31,0,GREENE
32,0,HALE
33,0,HENRY
34,0,HOUSTON
35,0,JACKSON
36,0,JEFFERSON
37,0,LAMAR
38,0,LAUDERDALE
39,0,LAWRENCE
40,0,LEE
41,0,LIMESTONE
42,0,LOWNDES
43,0,MACON
44,0,MADISON
45,0,MARENGO
46,0,MARION
47,0,MARSHALL
48,0,MOBILE
49,0,MONROE
50,0,MONTGOMERY
51,0,MORGAN
52,0,PERRY
53,0,PICKENS
54,0,PIKE
55,0,RANDOLPH
56,0,RUSSELL
57,0,ST. CLAIR
58,0,SHELBY
59,0,SUMTER
60,0,TALLADEGA
61,0,TALLAPOOSA
62,0,TUSCALOOSA
63,0,WALKER
64,0,WASHINGTON
65,0,WILCOX
66,0,WINSTON
67,0,ALEUTIANS EAST
68,0,ALEUTIANS WEST
69,0,ANCHORAGE
70,0,BETHEL
71,0,BRISTOL BAY
72,0,CHUGACH
73,0,COPPER RIVER
74,0,DENALI
75,0,DILLINGHAM
76,0,FAIRBANKS NORTH STAR
77,0,HAINES
78,0,HOONAH-ANGOON
79,0,JUNEAU
80,0,KENAI PENINSULA
81,0,KETCHIKAN GATEWAY
82,0,KODIAK ISLAND
83,0,KUSILVAK
84,0,LAKE AND PENINSULA
85,0,MATANUSKA-SUSITNA
86,0,NOME
87,0,NORTH SLOPE
88,0,NORTHWEST ARCTIC
89,0,PETERSBURG
90,0,PRINCE OF WALES-HYDER
91,0,SITKA
92,0,SKAGWAY
93,0,SOUTHEAST FAIRBANKS
94,0,WRANGELL
95,0,YAKUTAT
96,0,YUKON-KOYUKUK
97,0,APACHE
98,0,COCHISE
99,0,COCONINO
100,0,GILA
101,0,GRAHAM
102,0,GREENLEE
103,0,LA PAZ
104,0,MARICOPA
105,0,MOHAVE
106,0,NAVAJO
107,0,PIMA
108,0,PINAL
109,0,SANTA CRUZ
110,0,YAVAPAI
111,0,YUMA
112,0,ARKANSAS
113,0,ASHLEY
114,0,BAXTER
115,0,BENTON
116,0,BOONE
117,0,BRADLEY
118,0,CALHOUN
119,0,CARROLL
120,0,CHICOT
121,0,CLARK
122,0,CLAY
123,0,CLEBURNE
